VendorNumber,VendorName,Brand,Description,Actual_Price,PurchasePrice,Volume,TotalsalesQuantity,TotalsalesDollers,TotalsalesPrice,TotalsalesExciseTax,TotalpurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,StockturnOver,SalesPurchaseRate
1392,"CONSTELLATION BRANDS INC",261,"Svedka Citron Vodka",12.99,9.99,1000,330,4286.699999999988,2572.0199999999923,346.50000000000057,2325892,15573917.899999999,79528.99,-15569631.2,0.00014188105036691298,0.0002752486578858868
12546,"JIM BEAM BRANDS COMPANY",273,"Sauza Extra Gold Tequila",21.99,17.31,1750,10442,235543.57999999222,131726.7200000131,19190.540000000346,2737165,24203151.05000001,123880.96999999999,-23967607.470000017,0.003814896069473342,0.00973193860226692
3664,"WILLIAM GRANT & SONS INC",283,"Milagro Tequila Reposado SBR",61.99,39.69,750,501,28244.990000000213,21872.120000000097,395.1800000000024,302685,5960744.350000001,30234.42000000001,-5932499.36,0.001655186084543337,0.004738500486101238
3664,"WILLIAM GRANT & SONS INC",284,"Milagro Tequila Anejo SBR",77.99,53.43,750,445,34330.55000000021,30227.080000000242,351.20000000000135,302685,5960744.350000001,30234.42000000001,-5926413.800000001,0.0014701752647141417,0.005759440094088283
9552,"M S WALKER INC",294,"Old Mexico Gold Tequila",8.49,6.79,1000,3483,29570.670000000024,3200.7299999999723,3657.1499999999946,1372841,10935817.3,55551.819999999985,-10906246.63,0.002537074577463814,0.002704020119282719
3960,"DIAGEO NORTH AMERICA INC",305,"Crown Royal Canadian Whisky",27.99,22.21,1000,8826,247039.7399999962,139698.09000000783,9267.300000000256,5459788,50959796.849999994,257032.07000000007,-50712757.11,0.0016165462834820694,0.0048477379281388604
5992,"MCCORMICK DISTILLING CO",323,"Tequila Rose Strawberry Gift",13.99,10.6,750,648,9698.519999999924,6596.589999999935,510.70000000000255,29788,310552.86999999994,1567.85,-300854.35000000003,0.021753726332751442,0.031229851458142784
9165,"ULTRA BEVERAGE COMPANY LLP",344,"Punt e Mes Sweet Vermouth",19.99,15.74,750,774,15472.259999999867,12893.549999999883,610.4600000000012,1077527,13210613.930000002,68054.70000000003,-13195141.670000002,0.0007183114669052377,0.0011711991647007328
12546,"JIM BEAM BRANDS COMPANY",361,"Effen Cucumber Vodka",19.99,14.28,750,6292,132057.08000000592,88348.26000000331,4957.829999999919,2737165,24203151.05000001,123880.96999999999,-24071093.970000003,0.0022987287942086063,0.005456193688466274
11567,"CAMPARI AMERICA",376,"Aperol Liqueur",26.99,18.97,750,4126,118710.7400000044,81277.76000000138,3251.409999999974,501284,4141720.7100000004,20964.809999999998,-4023009.969999996,0.008230863143447627,0.028662178913557015
8112,"MOET HENNESSY USA INC",384,"Ardbeg Corryvreckan Scotch",74.99,54.68,750,576,41324.24000000004,32515.460000000323,454.3300000000032,427867,9472995.2,48347.26,-9431670.959999999,0.0013462127249822958,0.0043623203778251725
3960,"DIAGEO NORTH AMERICA INC",388,"Smirnoff 80 Proof",14.49,11.41,1000,9362,135655.3800000049,59916.14999999778,9830.099999999993,5459788,50959796.849999994,257032.07000000007,-50824141.46999999,0.001714718593469197,0.002662007864735138
11567,"CAMPARI AMERICA",408,"Wild Turkey American Honey",16.99,12.97,750,8720,165112.80000000302,114513.61000001116,6871.979999999713,501284,4141720.7100000004,20964.809999999998,-3976607.9099999974,0.017395328795652764,0.03986574942181531
7245,"PROXIMO SPIRITS INC.",415,"Jose Cuervo Especial",20.99,13.04,1000,14561,289524.38999998826,139974.0000000118,15289.049999999328,682042,7588029.899999999,38994.78000000001,-7298505.510000011,0.02134912512719158,0.038155409746077604
17035,"PERNOD RICARD USA",419,"Absolut Citron",21.99,15.99,1000,2811,58151.89000000012,35290.92000000088,2951.5500000000143,1647558,24124091.56,123780.21999999997,-24065939.669999998,0.001706161482630657,0.0024105318061560252
8112,"MOET HENNESSY USA INC",425,"Hennessy Paradis",799.99,620.15,750,18,14399.819999999998,14399.819999999998,14.219999999999995,427867,9472995.2,48347.26,-9458595.379999999,0.000042069147655696745,0.0015200915545697732
9165,"ULTRA BEVERAGE COMPANY LLP",426,"Crystal Head Vodka",7.99,6.29,50,6835,54611.65000000005,27485.600000001836,350.93000000001234,1077527,13210613.930000002,68054.70000000003,-13156002.280000001,0.006343228522347932,0.004133922184795847
7153,"PINE STATE TRADING CO",435,"Il Tramonto Limoncello",17.99,12.79,750,7807,132009.93000000642,83425.01000000331,6150.779999999804,424427,3129071.589999999,15884.819999999998,-2997061.6599999927,0.018394211489843954,0.04218821020966365
4425,"MARTIGNETTI COMPANIES",438,"Licor 43 Vanilla Liqueur",19.99,12.77,750,6381,119411.19000000534,77743.54000000126,5027.709999999904,2640411,27861690.019999996,144929.24,-27742278.82999999,0.0024166692230868604,0.004285855951820878
